Timestamp,Object,Confidence,Tracking_ID
2026-06-01 22:01:18,person,0.66,83
2026-06-01 22:01:18,person,0.51,87
2026-06-01 22:01:18,person,0.42,89
2026-06-01 22:01:20,person,0.42,91
2026-06-01 22:01:31,person,0.43,97
2026-06-01 22:01:41,person,0.56,103
2026-06-01 22:01:51,person,0.76,N/A
2026-06-01 22:01:51,person,0.51,N/A
2026-06-01 22:01:51,person,0.84,107
2026-06-01 22:01:51,person,0.80,109
2026-06-01 22:01:51,person,0.50,110
2026-06-01 22:01:52,person,0.36,111
2026-06-01 22:01:58,person,0.53,116
2026-06-01 22:02:27,person,0.33,131
2026-06-01 22:02:30,person,0.48,135
2026-06-01 22:02:36,person,0.46,137
2026-06-01 22:02:54,person,0.60,N/A
2026-06-01 22:02:54,person,0.80,146
2026-06-01 22:02:55,person,0.43,N/A
2026-06-01 22:02:58,person,0.41,N/A
2026-06-01 22:02:58,person,0.42,N/A
2026-06-01 22:02:58,person,0.40,N/A
2026-06-01 22:02:58,person,0.44,N/A
2026-06-01 22:02:59,person,0.32,N/A
2026-06-01 22:02:59,person,0.42,152
2026-06-01 22:03:02,person,0.31,N/A
2026-06-01 22:03:02,person,0.32,N/A
2026-06-01 22:03:02,person,0.73,154
2026-06-01 22:03:03,person,0.52,156
2026-06-01 22:03:06,person,0.42,N/A
2026-06-01 22:03:06,person,0.48,N/A
2026-06-01 22:03:06,person,0.81,158
2026-06-01 22:03:36,person,0.52,163
2026-06-01 22:03:47,person,0.33,166
2026-06-01 22:03:58,person,0.57,169
2026-06-01 22:04:28,person,0.87,174
2026-06-01 22:04:30,person,0.72,176
2026-06-01 22:04:35,person,0.50,183
2026-06-01 22:06:13,person,0.77,190
2026-06-01 22:06:14,person,0.33,191
2026-06-01 22:06:23,person,0.47,192
2026-06-01 22:06:45,person,0.42,193
2026-06-01 22:17:33,person,0.46,N/A
2026-06-01 22:17:33,person,0.71,N/A
2026-06-01 22:17:33,person,0.79,2
2026-06-01 22:17:38,laptop,0.32,3
2026-06-01 22:17:38,person,0.61,4
2026-06-01 22:17:43,laptop,0.31,6
2026-06-01 22:17:52,person,0.41,14
2026-06-01 22:17:58,person,0.38,18
2026-06-01 22:19:45,person,0.33,27
2026-06-01 22:19:53,person,0.55,30
2026-06-01 22:20:43,person,0.43,33
2026-06-01 22:22:10,person,0.39,40
2026-06-01 22:23:43,laptop,0.40,43
2026-06-01 22:24:02,person,0.32,51
2026-06-01 22:24:19,person,0.42,55
2026-06-01 22:25:22,person,0.59,57
2026-06-01 22:26:35,person,0.55,60
2026-06-01 22:26:56,laptop,0.32,71
2026-06-01 22:26:58,person,0.78,72
2026-06-01 22:27:00,laptop,0.37,73
2026-06-01 22:27:04,person,0.79,77
2026-06-01 22:27:12,laptop,0.31,84
2026-06-01 22:27:24,person,0.36,86
2026-06-01 22:27:32,person,0.68,90
2026-06-01 22:27:48,person,0.34,94
2026-06-01 22:27:52,person,0.44,96
2026-06-01 22:27:53,person,0.64,N/A
2026-06-01 22:27:53,person,0.47,N/A
2026-06-01 22:27:53,person,0.72,99
2026-06-01 22:28:05,laptop,0.42,107
2026-06-01 22:28:27,person,0.43,117
2026-06-01 22:28:31,person,0.32,118
2026-06-01 22:28:46,person,0.72,121
2026-06-01 22:29:09,person,0.45,122
2026-06-01 22:29:49,person,0.54,123
2026-06-01 22:29:52,person,0.39,124
2026-06-01 22:30:00,person,0.43,125
2026-06-01 22:30:19,person,0.54,N/A
2026-06-01 22:30:23,person,0.35,130
2026-06-01 22:30:38,person,0.40,N/A
2026-06-01 22:30:38,person,0.48,N/A
2026-06-01 22:30:38,person,0.78,134
2026-06-01 22:33:18,person,0.34,N/A
2026-06-01 22:33:51,person,0.36,N/A
2026-06-01 22:36:32,person,0.40,N/A
2026-06-01 22:36:32,person,0.41,140
2026-06-01 22:37:57,person,0.39,N/A
2026-06-01 22:37:58,person,0.44,N/A
2026-06-01 22:37:58,person,0.47,N/A
2026-06-01 22:37:59,person,0.33,N/A
2026-06-01 22:38:00,person,0.85,N/A
2026-06-01 22:38:00,person,0.79,145
2026-06-01 22:39:32,person,0.47,159
2026-06-01 22:40:26,person,0.63,N/A
2026-06-01 22:40:26,person,0.31,N/A
2026-06-01 22:40:27,person,0.62,N/A
2026-06-01 22:40:27,person,0.80,N/A
2026-06-01 22:40:27,person,0.85,165
2026-06-01 22:40:28,person,0.44,N/A
2026-06-01 22:40:28,person,0.80,N/A
2026-06-01 22:40:28,person,0.57,167
2026-06-01 22:41:12,person,0.33,175
2026-06-01 22:41:17,person,0.35,176
2026-06-01 22:42:48,person,0.34,N/A
2026-06-01 22:42:48,person,0.39,N/A
2026-06-01 22:42:49,person,0.71,179
2026-06-01 22:42:50,person,0.41,182
2026-06-01 22:42:57,person,0.41,N/A
2026-06-01 22:42:58,person,0.42,191
2026-06-01 22:42:58,person,0.42,192
2026-06-01 22:42:59,person,0.38,197
2026-06-01 22:42:59,person,0.37,N/A
2026-06-01 22:42:59,person,0.37,N/A
2026-06-01 22:42:59,person,0.37,200
2026-06-01 22:42:59,person,0.38,201
2026-06-01 22:43:02,person,0.30,N/A
2026-06-01 22:43:02,person,0.82,204
2026-06-01 22:43:04,person,0.50,N/A
2026-06-01 22:43:04,person,0.35,N/A
2026-06-01 22:43:05,person,0.43,N/A
2026-06-01 22:43:06,person,0.38,208
2026-06-01 22:43:07,person,0.30,N/A
2026-06-01 22:43:11,person,0.34,217
2026-06-01 22:43:15,person,0.47,221
2026-06-01 22:43:41,person,0.33,224
2026-06-01 22:43:54,person,0.49,225
2026-06-01 22:44:43,person,0.31,N/A
2026-06-01 22:44:44,person,0.31,N/A
2026-06-01 22:44:46,person,0.57,235
2026-06-01 22:44:54,person,0.35,247
2026-06-01 22:44:55,person,0.31,249
2026-06-01 22:44:56,person,0.31,250
2026-06-01 22:45:07,person,0.38,263
2026-06-01 22:45:40,person,0.39,281
2026-06-01 22:45:41,cell phone,0.45,285
2026-06-01 22:45:50,person,0.74,291
2026-06-01 22:46:03,person,0.36,308
2026-06-01 22:46:11,person,0.52,318
2026-06-01 22:46:16,person,0.33,320
2026-06-01 22:46:42,person,0.47,331
2026-06-01 22:46:52,person,0.36,N/A
2026-06-01 22:46:53,person,0.36,N/A
2026-06-01 22:46:54,person,0.76,N/A
2026-06-01 22:46:54,person,0.73,N/A
2026-06-01 22:46:54,person,0.69,N/A
2026-06-01 22:46:54,person,0.79,N/A
2026-06-01 22:46:55,person,0.74,345
2026-06-01 22:47:02,person,0.30,N/A
